"major","minor","seats","AHORA CANARIAS","ANDECHA","AUNACV","AVANT ADELANTE LOS VERDES","AXSÍ","BNG","C 21","CANDA","CCA","NC","CENTRADOS","CONTIGO","CpM","CUP PR","DPL","EAJ PNV","EB","EH BILDU","ERC","EXTREMADURA UNIDA","FE DE LAS JONS","FIA","GBAI","I FEM","IZAR","IZQP","JXCAT JUNTS","LOS VERDES","MAS","SUMAR","MDYC","UPN","P LIB","PACMA","PCOE","PCPE","PCTE","PDSJE","PH","PP","PPSO","PREPAL","PSOE","PUM+J","PYLN","RECORTES CERO GV","RISA","SOLIDARIA","SOMOS REGIÓN","EV","UDT","UIG SOM CUIDES","UNIDOS SÍ A","UNIÓN REGIONALISTA","UPL","VOX","XAV"
"Cantabria","Cantabria",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.07949277258,0,0,0,0,0,0,0,0,0,0,0,0,37583.8463742917,0,0,166.419156941923,2457.88293329609,0,346.919934855855,327.717724439479,0,0,118269.614322861,0,0,100698.951718197,247.068440690701,0,307.235366662012,0,0,0,0,0,0,0,0,0,64671.7645349924,0
"Castilla–La Mancha","Albacete",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21974,0,0,0,1747,0,187,162,208,0,66808.5,0,0,73893,397,0,235,0,0,0,0,0,0,0,0,0,46872,0
"Castilla–La Mancha","Ciudad Real",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23429,0,0,0,1883,0,0,0,0,0,84003.5,0,0,96922,510,0,471,0,0,0,0,0,0,0,0,0,59019,0
"Castilla–La Mancha","Cuenca",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7806,0,0,49,565,0,86,68,0,0,36268,0,0,42165,134,0,130,0,0,0,0,0,0,0,0,0,20847,0
"Castilla–La Mancha","Guadalajara",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,15735,0,0,0,1337,206,92,112,247,0,35527.5,0,0,43483,300,0,303,0,0,0,0,0,0,0,0,0,33465,0
"Castilla–La Mancha","Toledo",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36630,0,0,0,2818,0,297,228,0,0,106813.5,0,0,122268,695,0,585,0,0,0,0,0,0,0,0,0,90479,0
"Castilla y León","Ávila",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,6402,0,0,34,456,0,0,107,0,0,35586.5,0,0,25858,108,0,111,0,0,0,0,0,0,0,0,0,18292,5722
"Castilla y León","Burgos",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23562,0,0,0,1511,0,0,432,0,0,69335,0,0,68558,662,0,689,0,0,0,0,0,0,0,0,0,31596,0
"Castilla y León","León",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28842,0,0,0,1580,0,0,398,0,0,83037.5,0,358,92258,333,0,187,0,0,0,0,0,0,0,0,10064,42913,0
"Castilla y León","Palencia",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,8167,0,0,0,614,0,0,112,0,0,37163.5,0,0,33577,220,0,270,0,0,0,0,0,0,0,0,0,14567,0
"Castilla y León","Salamanca",4,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14666,0,0,0,1039,0,0,211,0,0,76158,0,347,61950,287,0,330,0,0,0,0,0,0,0,0,308,37645,0
"Castilla y León","Segovia",3,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8453,0,0,41,494,185,0,72,123,0,31487.5,0,0,26995,142,0,204,0,0,0,0,0,0,0,0,0,15587,0
"Castilla y León","Soria",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3686,0,0,0,215,0,0,91,0,0,16582,1536,0,16814,100,0,100,0,0,0,0,0,0,0,0,0,6565,0
"Castilla y León","Valladolid",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,36753,0,0,0,2236,0,239,301,0,0,105330.5,0,0,101095,628,0,636,0,0,0,0,0,0,0,568,0,60360,0
"Castilla y León","Zamora",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7412,0,0,0,457,0,0,127,0,0,36912.5,0,294,34668,151,0,137,0,0,0,0,0,0,0,0,391,18035,0
"Catalunya","Barcelona",32,0,0,0,0,0,0,0,0,0,0,0,0,0,185257,0,0,0,0,640398,0,0,0,0,3109,0,1219,355872,0,0,511470,0,0,0,35959,0,1561,1642,0,0,312707,0,0,660482,1632,0,4861,0,0,0,0,0,0,0,0,0,191128,0
"Catalunya","Girona",6,0,0,0,0,0,0,0,0,0,0,0,0,0,32386,0,0,0,0,93911,0,0,0,0,0,0,251,89956,0,0,34436,0,0,0,3804,0,334,323,0,0,24383.5,0,0,53858,346,0,519,0,0,0,0,0,0,0,0,0,18887,0
